"Orden","Familia","Taxa","Ingles","Español","...7","Species","# or cw"
"","","Coccyzus americanus","Yellow-billed Cuckoo","Cuclillo Piquigualdo","",NA,NA
"","","Coccyzus minor","Mangrove Cuckoo","Cuclillo de Antifaz","","Mangrove Cuckoo",NA
"","","Coccyzus ferrugineus","Cocos Cuckoo","Cuclillo de la Isla del Coco","",NA,NA
"","","Coccyzus erythropthalmus","Black-billed Cuckoo","Cuclillo Piquinegro","",NA,NA
"Caprimulgiformes","","","","","",NA,NA
"","Caprimulgidae","","","","",NA,NA
"","","Chordeiles acutipennis","Lesser Nighthawk","Añapero Menor (Gavilán)","","Lesser Nighthawk",NA
"","","Chordeiles minor","Common Nighthawk","Añapero Zumbón","","Common Nighthawk",NA
"","","Lurocalis semitorquatus","Short-tailed Nighthawk","Añapero Colicorto","",NA,NA
"","","Nyctidromus albicollis","Common Pauraque","Tapacaminos Común (Cuyeo, Pucuyo)","","Common Pauraque",NA
"","","Hydropsalis cayennensis","White-tailed Nightjar","Chotacabras Coliblanco","",NA,NA
"","","Nyctiphrynus ocellatus","Ocellated Poorwill","Chotacabras Ocelado","",NA,NA
"","","Antrostomus carolinensis","Chuck-will's-widow","Chotacabras de Paso","","Chuck-will's-widow",NA
"","","Antrostomus rufus","Rufous Nightjar","Chotacabras Rojizo","",NA,NA
"","","Antrostomus ridgwayi","Buff-collared Nightjar","Chotacabras Tucuchillo","",NA,NA
"","","Antrostomus vociferus","Eastern Whip-poor-will","Chotacabras Norteño","",NA,NA
"","","Antrostomus saturatus","Dusky Nightjar","Chotacabras Sombrío (Tres Cobijas)","",NA,NA
"Nyctibiiformes","","","","","",NA,NA
"","Nyctibiidae","","","","",NA,NA
"","","Nyctibius grandis","Great Potoo","Nictibio Grande (Pájaro Estaca, Leona, Bruja)","","Great Potoo",NA
"","","Nyctibius griseus","Common Potoo","Nictibio Común (Pájaro Estaca, Pájaro Palo)","",NA,NA
"","","Nyctibius jamaicensis","Northern Potoo","Nictibio Norteño (Pájaro Estaca, Gozona)","","Northern Potoo",NA
"Steatornithiformes","","","","","",NA,NA
"","Steatornithidae","","","","",NA,NA
"","","Steatornis caripensis","Oilbird","Guácharo","",NA,NA
"Apodiformes","","","","","",NA,NA
"","Apodidae","","","","",NA,NA
"","","Cypseloides niger","Black Swift","Vencejo Negro","",NA,NA
"","","Cypseloides cryptus","White-chinned Swift","Vencejo Sombrío","",NA,NA
"","","Cypseloides cherriei","Spot-fronted Swift","Vencejo de Cherrie","",NA,NA
"","","Streptoprocne rutila","Chestnut-collared Swift","Vencejo Cuellicastaño","",NA,NA
"","","Streptoprocne zonaris","White-collared Swift","Vencejón Collarejo (Golondrón)","","White-collared Swift",NA
"","","Chaetura cinereiventris","Gray-rumped Swift","Vencejo Lomigrís","",NA,NA
"","","Chaetura fumosa","Costa Rican Swift","Vencejo de Rabadilla Clara","",NA,NA
"","","Chaetura pelagica","Chimney Swift","Vencejo de Paso","",NA,NA
"","","Chaetura vauxi","Vaux's Swift","Vencejo Común","","Vaux's Swift",NA
"","","Panyptila cayennensis","Lesser Swallow-tailed Swift","Vencejo Tijereta Menor (Macuá)","",NA,NA
"","","Panyptila sanctihieronymi","Great Swallow-tailed Swift","Vencejo Tijereta Mayor","",NA,NA
"","Trochilidae","","","","",NA,NA
"","","Florisuga mellivora","White-necked Jacobin","Jacobino Nuquiblanco","","White-necked Jacobin",NA
"","","Eutoxeres aquila","White-tipped Sicklebill","Pico de Hoz","",NA,NA
"","","Glaucis aeneus","Bronzy Hermit","Ermitaño Bronceado","",NA,NA
"","","Threnetes ruckeri","Band-tailed Barbthroat","Ermitaño Barbudo","",NA,NA
"","","Phaethornis guy","Green Hermit","Ermitaño Verde","",NA,NA
"","","Phaethornis longirostris","Long-billed Hermit","Ermitaño Colilargo","",NA,NA
"","","Phaethornis striigularis","Stripe-throated Hermit","Ermitaño Enano","","Stripe-throated Hermit",NA
"","","Doryfera ludovicae","Green-fronted Lancebill","Pico de Lanza Frentiverde","",NA,NA
"","","Colibri delphinae","Brown Violetear","Colibrí Orejivioláceo Pardo","",NA,NA
"","","Colibri cyanotus","Lesser Violetear","Colibrí Orejivioláceo Verde","",NA,NA
"","","Heliothryx barroti","Purple-crowned Fairy","Colibrí Picopunzón","",NA,NA
"","","Anthracothorax prevostii","Green-breasted Mango","Colibrí Manguito Pechiverde","","Green-breasted Mango",NA
"","","Anthracothorax veraguensis","Veraguan Mango","Colibrí Manguito de Veragua","",NA,NA
"","","Discosura conversii","Green Thorntail","Colibrí Colicerda Verde","",NA,NA
"","","Lophornis delattrei","Rufous-crested Coquette","Coqueta Crestirrojiza","",NA,NA
"","","Lophornis helenae","Black-crested Coquette","Coqueta Crestinegra","",NA,NA
"","","Lophornis adorabilis","White-crested Coquette","Coqueta Crestiblanca","",NA,NA
"","","Heliodoxa jacula","Green-crowned Brilliant","Colibrí Brillante Frentiverde","",NA,NA
"","","Eugenes spectabilis","Talamanca Hummingbird","Colibrí de Talamanca","",NA,NA
"","","Heliomaster longirostris","Long-billed Starthroat","Colibrí Piquilargo (Pochotero del Sur)","",NA,NA
"","","Heliomaster constantii","Plain-capped Starthroat","Colibrí Pochotero","","Plain-capped Starthroat",NA
"","","Panterpe insignis","Fiery-throated Hummingbird","Colibrí Garganta de Fuego","",NA,NA
"","","Lampornis hemileucus","White-bellied Mountain-gem","Colibrí Montañés Vientriblanco","",NA,NA
"","","Lampornis calolaemus","Purple-throated Mountain-gem","Colibrí Montañés Gorgimorado","",NA,NA
"","","Lampornis castaneoventris","White-throated Mountain-gem","Colibrí Montañés Gorgiblanco","",NA,NA
"","","Philodice bryantae","Magenta-throated Woodstar","Colibrí Estrellita Gorgimorada","",NA,NA
"","","Archilochus colubris","Ruby-throated Hummingbird","Colibrí Garganta de Rubí","","Ruby-throated Hummingbird",NA
"","","Selasphorus flammula","Volcano Hummingbird","Colibrí Chispita Volcanera (Chispita, Colibrí Mosca)","",NA,NA
"","","Selasphorus scintilla","Scintillant Hummingbird","Colibrí Chispita Gorginaranja (Chispita, Colibrí Mosca)","",NA,NA
"","","Cynanthus canivetii","Canivet's Emerald","Esmeralda Rabihorcada","","Canivet's Emerald",NA
"","","Chlorostilbon assimilis","Garden Emerald","Esmeralda Jardinero","",NA,NA
"","","Klais guimeti","Violet-headed Hummingbird","Colibrí Cabeciazul","",NA,NA
