"Orden","Familia","Taxa","Ingles","Español","...7","Species"
"","","Calidris melanotos","Pectoral Sandpiper","Correlimos Pechirrayado (Patudo, Becacina)","",NA
"","","Calidris mauri","Western Sandpiper","Correlimos Occidental (Patudo, Becacina)","",NA
"","","Calidris pusilla","Semipalmated Sandpiper","Correlimos Semipalmado","",NA
"","Stercorariidae","","","","",NA
"","","Stercorarius longicaudus","Long-tailed Jaeger","Págalo Colilargo","",NA
"","","Stercorarius parasiticus","Parasitic Jaeger","Págalo Parásito","",NA
"","","Stercorarius pomarinus","Pomarine Jaeger","Págalo Pomarino","",NA
"","","Stercorarius maccormicki","South Polar Skua","Salteador Polar","",NA
"","Laridae","","","","",NA
"","","Creagrus furcatus","Swallow-tailed Gull","Gaviota Tijereta","",NA
"","","Rissa tridactyla","Black-legged Kittiwake","Gaviota Patinegra","",NA
"","","Xema sabini","Sabine's Gull","Gaviota de Sabine","",NA
"","","Chroicocephalus philadelphia","Bonaparte’s Gull","Gaviota de Bonaparte","",NA
"","","Chroicocephalus cirrocephalus","Gray-hooded Gull","Gaviota Cabecigris","",NA
"","","Leucophaeus modestus","Gray Gull","Gaviota Torero","",NA
"","","Leucophaeus atricilla","Laughing Gull","Gaviota Reidora","",NA
"","","Leucophaeus pipixcan","Franklin's Gull","Gaviota de Franklin","",NA
"","","Larus heermanni","Heermann's Gull","Gaviota de Heermann","",NA
"","","Larus delawarensis","Ring-billed Gull","Gaviota Piquianillada","",NA
"","","Larus occidentalis","Western Gull","Gaviota Occidental","",NA
"","","Larus dominicanus","Kelp Gull","Gaviota Cocinera","",NA
"","","Larus argentatus","Herring Gull","Gaviota Argéntea","",NA
"","","Larus marinus","Great Black-backed Gull","Gavión Atlántico","",NA
"","","Larus fuscus","Lesser Black-backed Gull","Gaviota Sombría","",NA
"","","Larus californicus","California Gull","Gaviota Californiana","",NA
"","","Rynchops niger","Black Skimmer","Rayador Negro","",NA
"","","Gygis alba","White Tern","Charrán Blanco (Palomita del Espíritu Santo)","",NA
"","","Anous stolidus","Brown Noddy","Tiñosa Común (Charrán Negro)","",NA
"","","Anous minutus","Black Noddy","Tiñosa Negra (Charrán Negro Pequeño)","",NA
"","","Onychoprion fuscatus","Sooty Tern","Charrán Sombrío","",NA
"","","Onychoprion anaethetus","Bridled Tern","Charrán Embridado","",NA
"","","Sternula  antillarum","Least Tern","Charrán Chico","",NA
"","","Sternula superciliaris","Yellow-billed Tern","Charrán Piquiamarillo","",NA
"","","Phaetusa simplex","Large-billed Tern","Charrán Picudo (Charrán de Río)","",NA
"","","Gelochelidon nilotica","Gull-billed Tern","Charrán Piquinegro","",NA
"","","Hydroprogne caspia","Caspian Tern","Pagaza Mayor","",NA
"","","Larosterna inca","Inca Tern","Charrán Inca","",NA
"","","Chlidonias niger","Black Tern","Charrancito Negro","",NA
"","","Sterna forsteri","Forster's Tern","Charrán de Forster","",NA
"","","Sterna paradisaea","Arctic Tern","Charrán Viajero","",NA
"","","Sterna hirundo","Common Tern","Charrán Común","",NA
"","","Sterna dougallii","Roseate Tern","Charrán Rosado","",NA
"","","Thalasseus sandvicensis","Sandwich Tern","Pagaza Puntiamarilla","",NA
"","","Thalasseus elegans","Elegant Tern","Pagaza Elegante","",NA
"","","Thalasseus maximus","Royal Tern","Pagaza Real","",NA
"Eurypygiformes","","","","","",NA
"","Eurypygidae","","","","",NA
"","","Eurypyga helias","Sunbittern","Garza del Sol (Sol y Luna, Ave Canasta)","","Sunbittern"
"Phaethontiformes","","","","","",NA
"","Phaethontidae","","","","",NA
"","","Phaethon lepturus","White-tailed Tropicbird","Rabijunco Cola Blanca","",NA
"","","Phaethon aethereus","Red-billed Tropicbird","Rabijunco Piquirrojo","",NA
"","","Phaethon rubricauda","Red-tailed Tropicbird","Rabijunco Cola Roja","",NA
"Procellariiformes","","","","","",NA
"","Diomedeidae","","","","",NA
"","","Phoebastria irrorata","Waved Albatross","Albatros de Galápagos","",NA
"","","Thalassarche chlororhynchos","Atlantic Yellow-nosed Albatross","Albatros Pico Fino","",NA
"","","","","","",NA
"","Oceanitidae","","","","",NA
"","","Oceanites oceanicus","Wilson's Storm-Petrel","Paiño de Wilson","",NA
"","","Pelagodroma marina","White-faced Storm-Petrel","Paiño Pechialbo","",NA
"","Hydrobatidae","","","","",NA
"","","Hydrobates leucorhous","Leach's Storm-Petrel","Paiño de Leach","",NA
"","","Hydrobates castro","Band-rumped Storm-Petrel","Paiño Rabifajeado","",NA
"","","Hydrobates tethys","Wedge-rumped Storm-Petrel","Paiño Danzarin","",NA
"","","Hydrobates melania","Black Storm-Petrel","Paiño Negro","",NA
"","","Hydrobates markhami","Markham's Storm-Petrel","Paiño de Markham","",NA
"","","Hydrobates microsoma","Least Storm-Petrel","Paiño Menudo","",NA
"","Procellariidae","","","","",NA
"","","Pterodroma hasitata","Black-capped Petrel","Petrel Gorrinegro","",NA
"","","Pterodroma phaeopygia","Galapagos Petrel","Petrel Lomioscuro","",NA
"","","Pseudobulweria rostrata","Tahiti Petrel","Petrel de Tahiti","",NA
"","","Procellaria conspicillata","Spectacled Petrel","Petrel de Anteojos","",NA
